Name,Category,Request Priority,Request Type,Location,User Group,Start Date,End Date,Total Number of Requests,Total Similar Requests
Fuse,Electrical,High,Repair,Block 44,Teacher,2022-08-26,2022-08-27,83,58
Valve,Plumbing,High,Repair,Block 24,Other Servers,2019-08-01,2019-08-10,41,36
Bed Mattress,Furniture,Low,Replacement,Block 36,Student,2022-10-20,2022-11-08,63,46
Door Handle,Doors,Low,Replacement,Block 13,Teacher,2021-01-18,2021-01-26,29,29
Bed Mattress,Furniture,Medium,Repair,Block 38,Admin Staff,2023-03-04,2023-03-16,56,38
Fuse,Electrical,Low,Repair,Block 20,Teacher,2019-08-15,2019-08-19,95,90
Valve,Plumbing,Low,Replacement,Block 12,Other Servers,2022-12-06,2022-12-22,34,24
Monitor,Computers,Medium,Repair,Block 1,Teacher,2019-05-10,2019-05-15,58,33
Florescent Light bulb,Lighting,Medium,Replacement,Block 15,Teacher,2022-07-29,2022-08-02,68,54
Hard drive,Computers,Medium,Replacement,Block 27,Admin Staff,2021-12-20,2021-12-27,57,43
Door Handle,Doors,Low,Repair,Block 24,Student,2019-08-14,2019-08-22,15,14
Fuse,Electrical,Medium,Replacement,Block 29,Teacher,2023-09-04,2023-09-09,83,77
Window Glass,Windows,Medium,Repair,Block 27,Student,2020-03-30,2020-04-10,49,31
Toilet seat,Plumbing,Low,Replacement,Block 25,Other Servers,2020-02-19,2020-03-04,33,19
RAM,Computers,High,Repair,Block 16,Admin Staff,2021-09-22,2021-09-24,56,34
Door Handle,Doors,Low,Replacement,Block 33,Student,2019-10-13,2019-10-27,17,12
Shower Head,Plumbing,Medium,Replacement,Block 1,Other Servers,2021-08-23,2021-09-03,39,31
Bed Mattress,Furniture,Medium,Repair,Block 37,Teacher,2019-02-25,2019-03-09,61,44
Mouse,Computers,High,Replacement,Block 32,Admin Staff,2023-02-15,2023-02-19,55,32
RAM,Computers,High,Repair,Block 28,Teacher,2019-07-22,2019-07-25,58,30
Florescent Light bulb,Lighting,High,Repair,Block 27,Admin Staff,2019-10-03,2019-10-03,72,62
Shower Head,Plumbing,Low,Repair,Block 35,Other Servers,2020-10-09,2020-10-19,39,31
Florescent Light bulb,Lighting,High,Replacement,Block 30,Student,2023-11-17,2023-11-25,55,41
Fuse,Electrical,Medium,Repair,Block 49,Admin Staff,2020-11-23,2020-11-26,95,64
Locker Handle,Furniture,High,Repair,Block 25,Admin Staff,2019-12-11,2019-12-15,70,60
Window Glass,Windows,High,Repair,Block 13,Admin Staff,2019-10-30,2019-11-05,41,34
Florescent Light bulb,Lighting,Medium,Replacement,Block 41,Student,2021-09-09,2021-09-17,61,52
RAM,Computers,Low,Replacement,Block 35,Admin Staff,2022-07-29,2022-08-07,56,55
Door Cylinder,Doors,High,Replacement,Block 13,Admin Staff,2022-12-03,2022-12-10,12,9
Mouse,Computers,Medium,Replacement,Block 39,Teacher,2023-04-18,2023-04-24,54,44
Door Cylinder,Doors,High,Replacement,Block 30,Teacher,2023-02-03,2023-02-11,13,8
Window Glass,Windows,High,Replacement,Block 38,Student,2019-03-03,2019-03-17,55,33
Hard drive,Computers,High,Repair,Block 2,Teacher,2020-10-07,2020-10-11,65,54
Window Lock,Windows,Medium,Repair,Block 7,Teacher,2019-10-31,2019-11-05,37,20
Valve,Plumbing,Low,Repair,Block 12,Other Servers,2019-06-17,2019-06-29,37,20
Door Handle,Doors,High,Replacement,Block 11,Teacher,2019-01-07,2019-01-14,19,15
CPU,Computers,High,Replacement,Block 12,Admin Staff,2022-03-11,2022-03-21,54,37
Window Lock,Windows,High,Repair,Block 19,Admin Staff,2020-08-24,2020-08-27,46,34
Door Cylinder,Doors,Medium,Repair,Block 21,Teacher,2020-01-03,2020-01-09,20,19
Bed Frame,Furniture,Low,Replacement,Block 16,Admin Staff,2020-03-16,2020-03-28,58,35
Fuse,Electrical,Medium,Replacement,Block 37,Student,2021-05-21,2021-06-01,94,90
Fuse,Electrical,Medium,Replacement,Block 50,Teacher,2019-12-24,2019-12-31,91,60
Door Handle,Doors,High,Replacement,Block 20,Teacher,2023-02-07,2023-02-12,17,13
Shower Head,Plumbing,High,Repair,Block 34,Other Servers,2022-03-15,2022-03-22,25,15
Chair,Furniture,Medium,Replacement,Block 18,Admin Staff,2022-05-21,2022-05-29,60,46
Bed Mattress,Furniture,Medium,Replacement,Block 4,Teacher,2019-06-04,2019-06-18,63,56
Toilet seat,Plumbing,High,Repair,Block 18,Other Servers,2021-08-29,2021-09-06,41,23
Socket,Electrical,High,Replacement,Block 4,Teacher,2019-12-07,2019-12-14,100,88
Socket,Electrical,Low,Replacement,Block 41,Admin Staff,2022-06-18,2022-06-28,99,84
Florescent Light bulb,Lighting,High,Repair,Block 17,Admin Staff,2021-04-12,2021-04-13,68,65
Hard drive,Computers,Medium,Repair,Block 20,Admin Staff,2022-09-27,2022-10-02,72,66
Socket,Electrical,Medium,Replacement,Block 46,Student,2023-09-19,2023-10-01,83,46
Locker Cylinder,Furniture,Low,Repair,Block 19,Admin Staff,2021-09-18,2021-09-29,55,42
Chair,Furniture,High,Replacement,Block 44,Teacher,2023-06-12,2023-06-19,54,33
Window Glass,Windows,High,Repair,Block 43,Student,2019-04-24,2019-05-02,43,30
Door Handle,Doors,Medium,Repair,Block 40,Teacher,2023-04-19,2023-04-24,25,23
Pipe,Plumbing,Medium,Repair,Block 11,Other Servers,2019-08-19,2019-08-29,33,30
Florescent Light bulb,Lighting,Medium,Repair,Block 49,Teacher,2023-05-07,2023-05-09,73,72
Locker Cylinder,Furniture,Low,Replacement,Block 33,Teacher,2023-07-27,2023-08-09,56,53
Door Cylinder,Doors,Low,Repair,Block 22,Teacher,2020-01-25,2020-02-01,17,11
Socket,Electrical,Low,Replacement,Block 20,Admin Staff,2019-10-25,2019-11-05,92,74
Locker Handle,Furniture,Medium,Replacement,Block 26,Student,2020-11-17,2020-11-29,66,38
Florescent Light bulb,Lighting,Medium,Repair,Block 39,Admin Staff,2020-08-07,2020-08-09,67,41
Shower Head,Plumbing,High,Replacement,Block 36,Other Servers,2021-08-24,2021-09-01,35,24
Bed Frame,Furniture,Medium,Repair,Block 2,Admin Staff,2021-08-07,2021-08-14,66,61
Locker Handle,Furniture,Medium,Repair,Block 18,Admin Staff,2023-04-20,2023-04-26,67,66
Bed Chipwood,Furniture,Low,Replacement,Block 36,Teacher,2021-06-27,2021-07-11,67,60
Monitor,Computers,Low,Replacement,Block 39,Teacher,2021-08-09,2021-08-20,67,62
Hard drive,Computers,Low,Replacement,Block 27,Admin Staff,2022-11-14,2022-11-23,68,35
Florescent Light bulb,Lighting,Low,Replacement,Block 39,Student,2023-07-15,2023-07-25,56,52
Valve,Plumbing,Low,Repair,Block 46,Other Servers,2021-03-02,2021-03-14,37,31
Valve,Plumbing,Low,Replacement,Block 8,Other Servers,2022-07-11,2022-07-28,37,28
Florescent Light bulb,Lighting,Low,Repair,Block 45,Teacher,2021-08-30,2021-09-05,65,59
Florescent Light bulb,Lighting,High,Repair,Block 40,Teacher,2019-06-06,2019-06-07,66,35
Locker Cylinder,Furniture,Medium,Repair,Block 25,Admin Staff,2019-12-06,2019-12-14,58,53
Fuse,Electrical,Medium,Repair,Block 49,Admin Staff,2020-10-19,2020-10-22,82,61
Florescent Light bulb,Lighting,Low,Replacement,Block 43,Student,2023-01-01,2023-01-11,60,39
Window Lock,Windows,Low,Replacement,Block 3,Student,2020-09-20,2020-10-04,44,31
Fuse,Electrical,High,Repair,Block 20,Admin Staff,2023-01-06,2023-01-08,94,79
Monitor,Computers,High,Repair,Block 37,Admin Staff,2022-09-22,2022-09-26,66,44
Florescent Light bulb,Lighting,Medium,Repair,Block 17,Teacher,2021-06-16,2021-06-18,58,53
Bed Chipwood,Furniture,High,Repair,Block 13,Student,2019-12-31,2020-01-10,72,54
Hard drive,Computers,High,Replacement,Block 38,Teacher,2020-07-09,2020-07-15,56,43
Socket,Electrical,Medium,Replacement,Block 42,Teacher,2021-08-31,2021-09-08,83,54
Florescent Light bulb,Lighting,Medium,Replacement,Block 15,Student,2020-08-25,2020-09-02,67,36
Keyboard,Computers,High,Replacement,Block 38,Admin Staff,2023-10-31,2023-11-05,54,47
Door Handle,Doors,High,Repair,Block 20,Teacher,2022-06-11,2022-06-14,23,16
Fuse,Electrical,Low,Replacement,Block 5,Student,2020-07-05,2020-07-17,85,79
Toilet seat,Plumbing,Medium,Repair,Block 17,Other Servers,2023-09-22,2023-10-01,26,15
Florescent Light bulb,Lighting,High,Replacement,Block 42,Admin Staff,2023-01-14,2023-01-17,58,51
Socket,Electrical,Medium,Replacement,Block 23,Student,2020-08-13,2020-08-22,93,49
Locker Handle,Furniture,High,Replacement,Block 10,Teacher,2023-06-21,2023-06-29,72,56
Pipe,Plumbing,High,Repair,Block 14,Other Servers,2019-11-02,2019-11-10,40,36
Door Cylinder,Doors,Low,Repair,Block 15,Teacher,2022-08-01,2022-08-11,19,16
Pipe,Plumbing,Low,Repair,Block 27,Other Servers,2022-11-20,2022-12-02,30,23
Window Lock,Windows,Low,Replacement,Block 45,Teacher,2019-09-07,2019-09-18,50,49
Keyboard,Computers,Low,Replacement,Block 40,Admin Staff,2020-08-22,2020-08-31,67,57
Fuse,Electrical,Low,Repair,Block 6,Student,2022-05-26,2022-06-02,85,48
Window Glass,Windows,High,Repair,Block 7,Admin Staff,2020-10-01,2020-10-06,55,43
Door Handle,Doors,Medium,Replacement,Block 28,Teacher,2022-07-23,2022-07-31,29,24
Bed Frame,Furniture,Medium,Replacement,Block 31,Teacher,2019-02-27,2019-03-08,60,43
Door Handle,Doors,Low,Replacement,Block 8,Admin Staff,2019-12-07,2019-12-20,13,8
Bed Mattress,Furniture,Low,Repair,Block 6,Student,2022-06-21,2022-07-08,59,58
Locker Handle,Furniture,Medium,Repair,Block 34,Admin Staff,2022-10-14,2022-10-20,73,73
Shower Head,Plumbing,Low,Replacement,Block 44,Other Servers,2022-03-19,2022-04-04,39,22
Pipe,Plumbing,High,Replacement,Block 32,Other Servers,2021-05-06,2021-05-17,37,20
Fuse,Electrical,Medium,Repair,Block 18,Student,2020-05-01,2020-05-08,99,67
Door Cylinder,Doors,Medium,Replacement,Block 39,Teacher,2021-06-02,2021-06-10,15,11
Mouse,Computers,Medium,Repair,Block 25,Teacher,2020-07-25,2020-07-27,66,41
Shower Head,Plumbing,Medium,Replacement,Block 20,Other Servers,2020-03-24,2020-04-05,33,20
Valve,Plumbing,Medium,Repair,Block 32,Other Servers,2020-11-04,2020-11-15,30,29
Bed Mattress,Furniture,Medium,Repair,Block 38,Admin Staff,2020-08-25,2020-09-06,65,50
Door Handle,Doors,Medium,Replacement,Block 4,Student,2019-09-20,2019-09-30,22,18
Door Cylinder,Doors,High,Replacement,Block 32,Admin Staff,2023-05-31,2023-06-07,10,6
Window Glass,Windows,Medium,Replacement,Block 18,Admin Staff,2019-06-19,2019-06-28,51,42
Bed Mattress,Furniture,Low,Repair,Block 33,Student,2022-08-25,2022-09-13,66,63
Window Glass,Windows,Low,Replacement,Block 8,Student,2023-03-18,2023-04-04,54,49
CPU,Computers,Low,Replacement,Block 22,Teacher,2022-12-09,2022-12-19,56,44
Bed Chipwood,Furniture,Low,Repair,Block 2,Teacher,2021-10-04,2021-10-15,72,37
Toilet seat,Plumbing,Low,Repair,Block 18,Other Servers,2022-04-05,2022-04-16,37,24
Battery,Computers,High,Replacement,Block 39,Admin Staff,2020-07-01,2020-07-05,68,54
Window Glass,Windows,Low,Repair,Block 12,Student,2019-10-28,2019-11-11,37,28
Valve,Plumbing,High,Replacement,Block 9,Other Servers,2021-05-24,2021-06-06,31,17
Toilet seat,Plumbing,Medium,Replacement,Block 4,Other Servers,2021-06-01,2021-06-13,37,29
Fuse,Electrical,Medium,Repair,Block 25,Teacher,2022-11-12,2022-11-15,83,47
Door Cylinder,Doors,High,Repair,Block 12,Student,2023-06-15,2023-06-24,13,9
Toilet seat,Plumbing,Low,Repair,Block 1,Other Servers,2022-10-02,2022-10-12,28,26
Florescent Light bulb,Lighting,High,Replacement,Block 34,Student,2023-01-25,2023-02-01,59,46
Fuse,Electrical,Medium,Replacement,Block 27,Teacher,2019-07-16,2019-07-21,91,56
Door Handle,Doors,High,Replacement,Block 21,Admin Staff,2022-02-18,2022-02-25,26,24
CPU,Computers,High,Repair,Block 27,Admin Staff,2019-05-08,2019-05-13,60,43
Hard drive,Computers,Medium,Replacement,Block 29,Admin Staff,2021-09-14,2021-09-23,54,38
Window Lock,Windows,Low,Replacement,Block 10,Teacher,2023-08-19,2023-08-29,51,32
Valve,Plumbing,Low,Replacement,Block 42,Other Servers,2021-01-27,2021-02-15,42,36
Shower Head,Plumbing,Low,Repair,Block 37,Other Servers,2021-07-26,2021-08-04,41,34
Locker Cylinder,Furniture,High,Replacement,Block 34,Admin Staff,2020-06-24,2020-07-04,73,51
Toilet seat,Plumbing,Medium,Replacement,Block 7,Other Servers,2020-02-25,2020-03-07,39,26
Door Cylinder,Doors,High,Repair,Block 37,Student,2022-05-22,2022-05-29,19,18
Shower Head,Plumbing,Medium,Replacement,Block 37,Other Servers,2019-02-08,2019-02-20,25,23
Door Handle,Doors,Low,Replacement,Block 41,Student,2019-05-04,2019-05-17,13,9
Window Glass,Windows,Medium,Repair,Block 49,Teacher,2019-12-24,2019-12-31,50,36
RAM,Computers,High,Replacement,Block 28,Teacher,2023-08-30,2023-09-05,62,36
Shower Head,Plumbing,Medium,Replacement,Block 22,Other Servers,2021-10-15,2021-10-26,42,22
Florescent Light bulb,Lighting,Low,Repair,Block 41,Teacher,2021-10-09,2021-10-13,63,36
Valve,Plumbing,High,Replacement,Block 42,Other Servers,2020-06-07,2020-06-20,42,26
Fuse,Electrical,Low,Repair,Block 41,Student,2021-12-11,2021-12-19,97,83
Toilet seat,Plumbing,Medium,Repair,Block 14,Other Servers,2020-04-15,2020-04-24,32,17
Door Cylinder,Doors,Medium,Repair,Block 46,Teacher,2021-06-21,2021-06-27,18,13
Monitor,Computers,High,Repair,Block 8,Teacher,2022-07-23,2022-07-27,63,57
Locker Cylinder,Furniture,Low,Repair,Block 27,Teacher,2020-01-31,2020-02-09,70,54
Keyboard,Computers,High,Replacement,Block 14,Teacher,2019-03-03,2019-03-07,71,54
Florescent Light bulb,Lighting,Medium,Replacement,Block 18,Student,2020-07-01,2020-07-10,60,54
Fuse,Electrical,Low,Replacement,Block 34,Admin Staff,2020-11-05,2020-11-15,83,75
Fuse,Electrical,Medium,Repair,Block 33,Teacher,2022-05-21,2022-05-24,95,80
Florescent Light bulb,Lighting,Medium,Replacement,Block 31,Student,2020-02-16,2020-02-25,68,37
Fuse,Electrical,Medium,Repair,Block 16,Student,2022-08-24,2022-08-31,82,71
Florescent Light bulb,Lighting,High,Repair,Block 37,Teacher,2021-03-26,2021-03-27,71,44
Pipe,Plumbing,Medium,Replacement,Block 10,Other Servers,2020-11-03,2020-11-17,34,23
Florescent Light bulb,Lighting,Medium,Repair,Block 16,Teacher,2022-04-04,2022-04-06,73,71
Florescent Light bulb,Lighting,Medium,Repair,Block 27,Admin Staff,2023-01-22,2023-01-24,65,34
Door Handle,Doors,Low,Replacement,Block 44,Student,2019-01-18,2019-02-02,19,12
Socket,Electrical,Medium,Replacement,Block 39,Student,2019-08-11,2019-08-20,96,54
Socket,Electrical,Medium,Repair,Block 34,Student,2021-10-31,2021-11-06,97,76
Locker Handle,Furniture,Low,Repair,Block 26,Teacher,2023-11-01,2023-11-09,63,47
Bed Mattress,Furniture,Low,Repair,Block 28,Admin Staff,2019-03-03,2019-03-18,70,62
Door Cylinder,Doors,Medium,Replacement,Block 50,Teacher,2019-02-01,2019-02-09,17,11
Window Lock,Windows,Low,Repair,Block 36,Teacher,2020-12-10,2020-12-19,54,35
Battery,Computers,Low,Repair,Block 15,Teacher,2019-09-25,2019-09-30,58,30
Door Handle,Doors,High,Replacement,Block 39,Teacher,2020-04-29,2020-05-05,26,15
Socket,Electrical,Medium,Replacement,Block 39,Admin Staff,2022-02-03,2022-02-11,89,87
Florescent Light bulb,Lighting,Low,Replacement,Block 8,Student,2019-12-28,2020-01-06,57,36
Shower Head,Plumbing,High,Replacement,Block 24,Other Servers,2021-08-29,2021-09-06,35,33
Bed Chipwood,Furniture,Medium,Replacement,Block 20,Admin Staff,2022-11-16,2022-11-30,64,41
Monitor,Computers,High,Replacement,Block 34,Admin Staff,2019-10-05,2019-10-12,70,62
Fuse,Electrical,High,Replacement,Block 24,Teacher,2021-10-04,2021-10-09,100,69
Socket,Electrical,Low,Replacement,Block 19,Teacher,2022-03-11,2022-03-18,86,62
Locker Cylinder,Furniture,Medium,Repair,Block 44,Teacher,2019-11-10,2019-11-18,69,38
Florescent Light bulb,Lighting,High,Replacement,Block 22,Admin Staff,2020-10-21,2020-10-24,69,45
Keyboard,Computers,Low,Repair,Block 12,Admin Staff,2020-06-21,2020-06-26,72,49
Chair,Furniture,Low,Replacement,Block 1,Teacher,2023-07-31,2023-08-11,63,52
Door Cylinder,Doors,Low,Repair,Block 17,Admin Staff,2023-02-26,2023-03-05,22,13
Socket,Electrical,Medium,Replacement,Block 21,Teacher,2019-05-03,2019-05-09,100,60
Pipe,Plumbing,Low,Repair,Block 45,Other Servers,2022-01-31,2022-02-14,37,29
Door Handle,Doors,High,Replacement,Block 9,Teacher,2020-01-15,2020-01-22,24,20
Valve,Plumbing,Medium,Replacement,Block 6,Other Servers,2019-04-06,2019-04-21,30,24
Toilet seat,Plumbing,High,Replacement,Block 35,Other Servers,2022-10-21,2022-10-31,33,25
Locker Cylinder,Furniture,High,Repair,Block 27,Admin Staff,2020-08-15,2020-08-21,60,41
Window Glass,Windows,Medium,Repair,Block 15,Teacher,2019-06-11,2019-06-18,51,30
Valve,Plumbing,Medium,Repair,Block 8,Other Servers,2019-03-26,2019-04-06,40,37
Window Lock,Windows,High,Repair,Block 25,Teacher,2021-06-08,2021-06-12,54,50
Valve,Plumbing,Low,Repair,Block 43,Other Servers,2020-03-13,2020-03-25,39,38
Toilet seat,Plumbing,Low,Replacement,Block 9,Other Servers,2021-11-17,2021-12-02,37,31
Florescent Light bulb,Lighting,Low,Replacement,Block 43,Admin Staff,2019-11-03,2019-11-11,69,59
Florescent Light bulb,Lighting,Medium,Replacement,Block 1,Student,2019-08-20,2019-08-28,62,33
Hard drive,Computers,High,Repair,Block 38,Admin Staff,2019-12-17,2019-12-21,64,54
Fuse,Electrical,Medium,Replacement,Block 14,Admin Staff,2023-04-02,2023-04-09,97,94
Florescent Light bulb,Lighting,High,Repair,Block 24,Student,2022-07-03,2022-07-07,68,37
Florescent Light bulb,Lighting,Medium,Replacement,Block 11,Student,2019-11-24,2019-12-03,69,59
Pipe,Plumbing,Low,Replacement,Block 16,Other Servers,2020-09-11,2020-09-27,39,29
Door Handle,Doors,High,Repair,Block 36,Student,2023-06-03,2023-06-09,29,17
Keyboard,Computers,Medium,Repair,Block 27,Admin Staff,2020-11-14,2020-11-17,63,34
Fuse,Electrical,High,Replacement,Block 5,Admin Staff,2021-01-09,2021-01-13,89,81
Pipe,Plumbing,Low,Repair,Block 35,Other Servers,2023-07-20,2023-08-03,36,33
Valve,Plumbing,Medium,Replacement,Block 29,Other Servers,2021-11-09,2021-11-22,35,30
Shower Head,Plumbing,High,Replacement,Block 10,Other Servers,2022-05-17,2022-05-28,42,33
Florescent Light bulb,Lighting,Medium,Replacement,Block 47,Teacher,2020-11-16,2020-11-22,64,57
Door Handle,Doors,Medium,Repair,Block 39,Teacher,2021-03-31,2021-04-05,13,10
Window Lock,Windows,Low,Repair,Block 46,Teacher,2019-10-29,2019-11-04,49,28
Door Cylinder,Doors,Low,Repair,Block 22,Student,2023-12-28,2024-01-08,25,19
Florescent Light bulb,Lighting,High,Repair,Block 46,Admin Staff,2019-09-22,2019-09-23,71,43
Florescent Light bulb,Lighting,High,Repair,Block 47,Teacher,2020-03-21,2020-03-21,61,59
Bed Mattress,Furniture,Medium,Repair,Block 28,Admin Staff,2022-07-24,2022-08-05,59,55
Pipe,Plumbing,High,Replacement,Block 28,Other Servers,2023-09-17,2023-09-29,43,40
Door Handle,Doors,High,Replacement,Block 43,Teacher,2021-10-14,2021-10-20,18,14
RAM,Computers,Medium,Replacement,Block 34,Teacher,2020-04-22,2020-04-28,72,45
Hard drive,Computers,High,Replacement,Block 10,Admin Staff,2020-08-02,2020-08-08,64,57
Pipe,Plumbing,Low,Repair,Block 5,Other Servers,2019-05-29,2019-06-12,34,29
Florescent Light bulb,Lighting,Medium,Replacement,Block 46,Admin Staff,2021-10-01,2021-10-05,60,42
Battery,Computers,Low,Replacement,Block 11,Admin Staff,2020-11-06,2020-11-17,61,35
Florescent Light bulb,Lighting,Low,Replacement,Block 24,Teacher,2019-03-18,2019-03-26,74,38
Pipe,Plumbing,Low,Repair,Block 46,Other Servers,2023-03-20,2023-04-03,37,36
Locker Cylinder,Furniture,Medium,Repair,Block 13,Admin Staff,2021-02-18,2021-02-26,66,46
CPU,Computers,Low,Repair,Block 19,Teacher,2022-08-20,2022-08-29,55,32
Socket,Electrical,Medium,Repair,Block 6,Teacher,2020-08-12,2020-08-16,84,70
Valve,Plumbing,Low,Repair,Block 39,Other Servers,2020-12-08,2020-12-20,43,25
Window Lock,Windows,Medium,Repair,Block 39,Teacher,2021-04-13,2021-04-18,49,48
Window Lock,Windows,Medium,Replacement,Block 37,Teacher,2019-03-27,2019-04-03,41,30
RAM,Computers,Medium,Repair,Block 41,Admin Staff,2023-08-26,2023-08-30,71,55
Door Handle,Doors,High,Repair,Block 33,Student,2022-08-04,2022-08-11,13,11
Window Lock,Windows,Low,Replacement,Block 14,Teacher,2020-02-21,2020-02-29,46,39
Door Cylinder,Doors,High,Replacement,Block 10,Admin Staff,2019-04-13,2019-04-19,24,17
Fuse,Electrical,High,Replacement,Block 1,Admin Staff,2022-06-11,2022-06-17,97,69
Florescent Light bulb,Lighting,High,Repair,Block 20,Student,2020-03-06,2020-03-08,73,48
Door Cylinder,Doors,Medium,Repair,Block 14,Teacher,2023-08-25,2023-08-31,28,16
Keyboard,Computers,Medium,Repair,Block 22,Admin Staff,2023-05-11,2023-05-14,68,50
Bed Chipwood,Furniture,Low,Repair,Block 34,Teacher,2022-01-16,2022-01-28,67,67
Door Handle,Doors,Low,Repair,Block 35,Student,2020-11-02,2020-11-14,25,16
Pipe,Plumbing,Medium,Repair,Block 25,Other Servers,2021-10-19,2021-10-29,35,24
Monitor,Computers,Low,Replacement,Block 28,Teacher,2020-11-18,2020-11-27,66,42
Fuse,Electrical,Low,Repair,Block 15,Admin Staff,2021-07-02,2021-07-06,96,96
RAM,Computers,Medium,Repair,Block 31,Admin Staff,2019-01-11,2019-01-15,66,65
Florescent Light bulb,Lighting,Low,Replacement,Block 43,Admin Staff,2022-10-30,2022-11-06,73,42
Chair,Furniture,High,Replacement,Block 40,Admin Staff,2021-12-18,2021-12-24,70,56
Socket,Electrical,Low,Replacement,Block 32,Teacher,2020-12-06,2020-12-14,99,73
Window Lock,Windows,Medium,Repair,Block 45,Teacher,2022-04-16,2022-04-21,51,31
Florescent Light bulb,Lighting,Medium,Replacement,Block 16,Teacher,2022-05-25,2022-05-31,71,56
Keyboard,Computers,High,Repair,Block 50,Teacher,2022-10-02,2022-10-04,63,39
Door Handle,Doors,High,Replacement,Block 45,Admin Staff,2023-08-16,2023-08-22,16,16
Bed Chipwood,Furniture,Medium,Replacement,Block 25,Teacher,2022-02-26,2022-03-10,69,40
Florescent Light bulb,Lighting,High,Replacement,Block 45,Student,2020-04-27,2020-05-04,72,60
Florescent Light bulb,Lighting,Low,Repair,Block 14,Admin Staff,2021-05-21,2021-05-24,57,43
Florescent Light bulb,Lighting,Low,Repair,Block 49,Student,2022-08-27,2022-09-05,73,51
Fuse,Electrical,High,Replacement,Block 18,Student,2020-08-22,2020-08-31,88,85
Socket,Electrical,High,Replacement,Block 36,Student,2020-09-06,2020-09-13,81,48
Monitor,Computers,High,Repair,Block 9,Admin Staff,2020-01-06,2020-01-10,56,50
Door Handle,Doors,Medium,Replacement,Block 12,Admin Staff,2020-06-27,2020-07-05,13,10
Monitor,Computers,Low,Repair,Block 6,Teacher,2019-08-08,2019-08-15,62,59
Door Cylinder,Doors,High,Repair,Block 4,Admin Staff,2021-02-15,2021-02-20,12,12
Bed Chipwood,Furniture,Low,Repair,Block 12,Admin Staff,2021-10-23,2021-11-05,61,35
Toilet seat,Plumbing,High,Repair,Block 13,Other Servers,2023-11-12,2023-11-19,37,37
Locker Handle,Furniture,Medium,Repair,Block 27,Student,2022-06-28,2022-07-08,65,55
Florescent Light bulb,Lighting,Low,Replacement,Block 15,Admin Staff,2023-09-30,2023-10-08,70,42
Locker Handle,Furniture,Medium,Repair,Block 41,Teacher,2019-09-08,2019-09-14,56,40
RAM,Computers,High,Replacement,Block 37,Admin Staff,2021-01-08,2021-01-14,62,32
Window Lock,Windows,Low,Repair,Block 30,Student,2023-02-05,2023-02-16,49,28
Fuse,Electrical,Medium,Repair,Block 7,Teacher,2023-04-20,2023-04-23,94,55
Window Glass,Windows,Low,Replacement,Block 32,Teacher,2022-03-26,2022-04-07,52,28
Mouse,Computers,Low,Replacement,Block 32,Teacher,2019-12-20,2019-12-28,56,34
Locker Cylinder,Furniture,Medium,Repair,Block 10,Student,2021-01-26,2021-02-05,58,51
Door Cylinder,Doors,High,Repair,Block 7,Admin Staff,2023-10-26,2023-10-30,24,13
Window Glass,Windows,Low,Repair,Block 33,Teacher,2020-10-14,2020-10-25,37,33
Locker Cylinder,Furniture,Medium,Repair,Block 8,Admin Staff,2019-02-16,2019-02-24,64,41
Door Handle,Doors,Medium,Repair,Block 30,Student,2019-05-10,2019-05-17,11,7
Toilet seat,Plumbing,Low,Repair,Block 30,Other Servers,2023-09-03,2023-09-13,28,15
Socket,Electrical,Medium,Repair,Block 12,Student,2022-04-19,2022-04-27,81,56
Mouse,Computers,Low,Repair,Block 19,Admin Staff,2021-10-27,2021-10-30,71,42
Fuse,Electrical,High,Replacement,Block 27,Admin Staff,2020-02-09,2020-02-14,88,62
Hard drive,Computers,High,Replacement,Block 23,Teacher,2020-03-25,2020-04-01,55,55
Toilet seat,Plumbing,High,Replacement,Block 20,Other Servers,2020-06-04,2020-06-15,42,41
Keyboard,Computers,Medium,Replacement,Block 11,Teacher,2021-11-16,2021-11-21,69,52
Keyboard,Computers,Low,Replacement,Block 2,Teacher,2023-01-20,2023-01-31,62,34
Monitor,Computers,High,Repair,Block 31,Admin Staff,2021-12-14,2021-12-17,59,59
Window Lock,Windows,Low,Repair,Block 36,Admin Staff,2019-07-14,2019-07-22,42,38
Mouse,Computers,Low,Repair,Block 3,Teacher,2023-06-19,2023-06-23,56,47
Keyboard,Computers,High,Repair,Block 9,Admin Staff,2019-04-24,2019-04-26,69,44
Locker Cylinder,Furniture,High,Repair,Block 38,Teacher,2019-02-27,2019-03-06,70,55
Toilet seat,Plumbing,Medium,Repair,Block 1,Other Servers,2021-07-23,2021-08-01,26,15
Battery,Computers,Low,Repair,Block 23,Teacher,2020-09-01,2020-09-08,64,39
RAM,Computers,Medium,Repair,Block 31,Teacher,2019-12-04,2019-12-08,66,57
Pipe,Plumbing,Low,Replacement,Block 40,Other Servers,2021-09-14,2021-10-02,42,29
Mouse,Computers,Low,Replacement,Block 40,Admin Staff,2021-05-17,2021-05-24,57,36
Toilet seat,Plumbing,Low,Repair,Block 48,Other Servers,2022-03-21,2022-03-31,29,27
Door Cylinder,Doors,Medium,Replacement,Block 19,Teacher,2023-09-22,2023-09-30,28,26
Bed Mattress,Furniture,High,Repair,Block 9,Teacher,2020-11-28,2020-12-09,72,49
Bed Mattress,Furniture,Medium,Replacement,Block 18,Student,2019-01-01,2019-01-21,62,44
